PlotID,Site,Treatment,Plot,Month,Time,tree.abn,liana.abn,palm.abn,shrub.abn,herb.abn,bamboo.abn,tree.rich,liana.rich,palm.rich,shrub.rich,herb.rich,bamboo.rich,tree.invs,liana.invs,palm.invs,shrub.invs,herb.invs,bamboo.invs,tree.even,liana.even,palm.even,shrub.even,herb.even,bamboo.even
CAR_closed_1_T0_0,CAR,closed,1,T0,0,7,1,2,0,8,0,7,1,1,0,4,0,7,1,1,0,2.2857142857142856,0,3.597288396588255,0,0,-0,1.6487943324445296,-0
CAR_closed_1_T006_6,CAR,closed,1,T006,6,7,1,1,0,5,0,7,1,1,0,4,0,7,1,1,0,3.571428571428571,0,3.597288396588255,0,0,-0,2.5762411444445776,-0
CAR_closed_1_T012_12,CAR,closed,1,T012,12,7,0,1,0,4,0,7,0,1,0,4,0,7,0,1,0,4,0,3.597288396588255,-0,0,-0,2.8853900817779268,-0
CAR_closed_1_T018_18,CAR,closed,1,T018,18,7,0,10,0,5,0,7,0,1,0,4,0,7,0,1,0,3.571428571428571,0,3.597288396588255,-0,0,-0,2.5762411444445776,-0
CAR_closed_1_T024_24,CAR,closed,1,T024,24,10,0,18,0,7,0,8,0,2,0,4,0,6.25,0,1.1172413793103448,0,2.5789473684210527,0,3.005614668518674,-0,1.61183859740698,-0,1.8603172895673477,-0
CAR_closed_1_T030_30,CAR,closed,1,T030,30,10,0,17,0,6,0,8,0,2,0,3,0,6.25,0,1.1245136186770428,0,2,0,3.005614668518674,-0,1.6223302210774726,-0,1.8204784532536746,-0
CAR_closed_1_T036_36,CAR,closed,1,T036,36,11,0,14,0,5,0,9,0,2,0,2,0,7.117647058823531,0,1.1529411764705884,0,1.4705882352941173,0,3.239380777113157,-0,1.663342517730805,-0,2.121610354248475,-0
CAR_closed_1_T042_42,CAR,closed,1,T042,42,10,0,11,0,5,0,9,0,2,0,2,0,8.333333333333332,0,1.1980198019801982,0,1.4705882352941173,0,3.7926634442784883,-0,1.72837722720361,-0,2.121610354248475,-0
CAR_closed_1_T048_48,CAR,closed,1,T048,48,11,0,14,0,5,0,10,0,2,0,2,0,9.307692307692307,0,1.1529411764705884,0,1.4705882352941173,0,4.042279408484112,-0,1.663342517730805,-0,2.121610354248475,-0
CAR_closed_1_T054_54,CAR,closed,1,T054,54,12,2,12,0,4,0,11,2,2,0,2,0,10.285714285714286,2,1.1803278688524592,0,1.6,0,4.2894760260779625,2.8853900817779268,1.7028531630164818,-0,2.3083120654223417,-0
CAR_closed_1_T060_60,CAR,closed,1,T060,60,13,5,11,0,4,0,11,3,2,0,2,0,9.941176470588234,2.272727272727273,1.1980198019801982,0,1.6,0,4.1457925970998595,2.068725515060994,1.72837722720361,-0,2.3083120654223417,-0
CAR_closed_1_T066_66,CAR,closed,1,T066,66,11,5,8,0,4,0,10,3,2,0,2,0,9.307692307692307,2.272727272727273,1.28,0,1.6,0,4.042279408484112,2.068725515060994,1.8466496523378733,-0,2.3083120654223417,-0
CAR_closed_1_T072_72,CAR,closed,1,T072,72,11,3,8,1,4,0,10,2,2,1,2,0,9.307692307692307,1.7999999999999998,1.28,1,1.6,0,4.042279408484112,2.596851073600134,1.8466496523378733,0,2.3083120654223417,-0
CAR_closed_1_T078_78,CAR,closed,1,T078,78,11,1,8,1,4,0,10,1,2,1,2,0,9.307692307692307,1,1.28,1,1.6,0,4.042279408484112,0,1.8466496523378733,0,2.3083120654223417,-0
CAR_closed_1_T084_84,CAR,closed,1,T084,84,11,1,6,1,4,0,10,1,2,1,2,0,9.307692307692307,1,1.3846153846153844,1,1.6,0,4.042279408484112,0,1.9975777489231799,0,2.3083120654223417,-0
CAR_closed_1_T090_90,CAR,closed,1,T090,90,11,0,6,0,4,0,10,0,2,0,2,0,9.307692307692307,0,1.3846153846153844,0,1.6,0,4.042279408484112,-0,1.9975777489231799,-0,2.3083120654223417,-0
CAR_closed_1_T096_96,CAR,closed,1,T096,96,14,0,6,0,4,0,11,0,2,0,2,0,8.90909090909091,0,1.3846153846153844,0,1.6,0,3.7153794872341948,-0,1.9975777489231799,-0,2.3083120654223417,-0
CAR_closed_1_T102_102,CAR,closed,1,T102,102,12,0,5,0,3,0,10,0,2,0,2,0,9,0,1.4705882352941173,0,1.7999999999999998,0,3.908650337129266,-0,2.121610354248475,-0,2.596851073600134,-0
CAR_closed_1_T108_108,CAR,closed,1,T108,108,12,0,5,0,3,0,10,0,2,0,2,0,9,0,1.4705882352941173,0,1.7999999999999998,0,3.908650337129266,-0,2.121610354248475,-0,2.596851073600134,-0
CAR_closed_2_T0_0,CAR,closed,2,T0,0,15,0,1,3,16,0,12,0,1,2,5,0,9.782608695652174,0,1,1.7999999999999998,4.129032258064516,0,3.936811347213698,-0,0,2.596851073600134,2.5655119878590424,-0
CAR_closed_2_T006_6,CAR,closed,2,T006,6,15,0,1,3,13,0,13,0,1,2,5,0,10.714285714285714,0,1,1.7999999999999998,4.121951219512195,0,4.177191913406571,-0,0,2.596851073600134,2.5611122912335222,-0
CAR_closed_2_T012_12,CAR,closed,2,T012,12,14,0,0,3,10,0,12,0,0,2,4,0,9.8,0,0,1.7999999999999998,3.333333333333333,0,3.943810122942078,-0,-0,2.596851073600134,2.404491734814939,-0
CAR_closed_2_T018_18,CAR,closed,2,T018,18,16,0,1,3,13,0,13,0,1,2,5,0,10.666666666666666,0,1,1.7999999999999998,3.5957446808510634,0,4.158626616013653,-0,0,2.596851073600134,2.234161785969668,-0
CAR_closed_2_T024_24,CAR,closed,2,T024,24,18,0,2,3,12,0,14,0,1,2,5,0,11.571428571428573,0,1,1.7999999999999998,3.2727272727272725,0,4.384682530983722,-0,0,2.596851073600134,2.033459785831457,-0
CAR_closed_2_T030_30,CAR,closed,2,T030,30,19,1,0,3,13,0,14,1,0,2,5,0,10.939393939393941,1,0,1.7999999999999998,3.5957446808510634,0,4.145189957274922,0,-0,2.596851073600134,2.234161785969668,-0
CAR_closed_2_T036_36,CAR,closed,2,T036,36,17,1,0,3,14,0,14,1,0,2,5,0,11.559999999999999,1,0,1.7999999999999998,3.3793103448275863,0,4.380351980335836,0,-0,2.596851073600134,2.0996835719600675,-0
CAR_closed_2_T042_42,CAR,closed,2,T042,42,17,1,0,4,15,0,14,1,0,2,6,0,11.559999999999999,1,0,1.6,3.813559322033898,0,4.380351980335836,0,-0,2.3083120654223417,2.1283879826106884,-0
CAR_closed_2_T048_48,CAR,closed,2,T048,48,15,1,0,4,15,0,12,1,0,2,6,0,9.782608695652174,1,0,1.6,3.813559322033898,0,3.936811347213698,0,-0,2.3083120654223417,2.1283879826106884,-0
CAR_closed_2_T054_54,CAR,closed,2,T054,54,17,1,0,4,15,0,15,1,0,2,6,0,13.761904761904761,1,0,1.6,3.813559322033898,0,5.0818499436618625,0,-0,2.3083120654223417,2.1283879826106884,-0
CAR_closed_2_T060_60,CAR,closed,2,T060,60,18,1,0,4,15,0,15,1,0,2,6,0,13.5,1,0,1.6,3.813559322033898,0,4.985136536429543,0,-0,2.3083120654223417,2.1283879826106884,-0
CAR_closed_2_T066_66,CAR,closed,2,T066,66,15,0,0,4,12,0,12,0,0,2,5,0,10.714285714285714,0,0,1.6,3.2727272727272725,0,4.311745761234049,-0,-0,2.3083120654223417,2.033459785831457,-0
CAR_closed_2_T072_72,CAR,closed,2,T072,72,16,1,0,4,13,0,13,1,0,2,6,0,11.636363636363637,1,0,1.6,3.755555555555555,0,4.536683581105804,0,-0,2.3083120654223417,2.0960154641591284,-0
CAR_closed_2_T078_78,CAR,closed,2,T078,78,82,1,0,4,13,0,15,1,0,2,6,0,1.5828625235404894,1,0,1.6,3.755555555555555,0,0.5845026517219823,0,-0,2.3083120654223417,2.0960154641591284,-0
CAR_closed_2_T084_84,CAR,closed,2,T084,84,20,1,0,4,15,0,16,1,0,2,6,0,14.285714285714285,1,0,1.6,3.4615384615384612,0,5.152482288889155,0,-0,2.3083120654223417,1.9319213996004712,-0
CAR_closed_2_T090_90,CAR,closed,2,T090,90,18,1,0,4,14,0,15,1,0,2,6,0,13.5,1,0,1.6,3.6296296296296293,0,4.985136536429543,0,-0,2.3083120654223417,2.0257348667415638,-0
CAR_closed_2_T096_96,CAR,closed,2,T096,96,18,1,0,4,14,0,15,1,0,2,6,0,13.5,1,0,1.6,3.6296296296296293,0,4.985136536429543,0,-0,2.3083120654223417,2.0257348667415638,-0
CAR_closed_2_T102_102,CAR,closed,2,T102,102,14,1,0,4,13,0,12,1,0,2,5,0,10.88888888888889,1,0,1.6,3.188679245283019,0,4.38201124771342,0,-0,2.3083120654223417,1.981237810199517,-0
